Band,Mean Anomaly,Median Anomaly
56,-0.2269069,-0.07372865
57,-0.29798773,-0.1639124
58,-0.20528081,-0.14802928
59,0.10921811,0.050650313
60,0.42519224,0.28107184
61,0.3514466,0.26582682
62,0.043777604,0.08134904
63,-0.20474279,-0.040422186
64,-0.24830243,-0.07305399
65,-0.2861407,-0.12318742
66,-0.3708126,-0.23187965
67,-0.34588507,-0.22523275
68,-0.21876243,-0.1184425
69,-0.009301761,0.008394524
70,0.20368387,0.13832586
71,0.35170314,0.23206267
72,0.3194181,0.1760903
73,0.041690197,0.047203846
74,-0.14942846,-0.026022155
75,-0.013542171,0.059815407
76,0.27865994,0.18626586
77,0.34029812,0.19534278
78,0.24406944,0.14697671
79,0.09584486,-0.014750368
80,0.015809795,-0.07731554
81,-0.07645375,-0.13216448
82,-0.19559586,-0.22340208
83,-0.07902411,-0.08693521
84,0.06946513,0.053860236
85,0.039200336,0.030354977
86,-0.23067866,-0.18137938
87,-0.60550684,-0.5158997
88,-0.71927935,-0.58770084
89,-0.58528656,-0.4743613
90,-0.21772684,-0.19865775
91,0.17689896,0.09399539
92,0.37547478,0.18544972
93,0.35042068,0.20266616
94,0.29957718,0.19814873
95,0.3659187,0.2542734
96,0.44444156,0.35496944
97,0.389699,0.30729795
98,0.23638788,0.19768392
99,0.054674696,0.031435847
100,-0.11330619,-0.14851287
101,-0.16063656,-0.17734529
102,-0.14344731,-0.16100845
103,-0.038313445,-0.07693812
104,0.11729357,0.02327454
