Band,Mean Anomaly,Median Anomaly
56,-2.245606,-1.9656372
57,-0.8400628,-0.6423645
58,-0.29889685,0.045166016
59,-0.8388644,-0.46368408
60,-0.8593313,-0.50494385
61,-0.43439308,0.07788086
62,0.34809142,0.7180176
63,-0.15517078,0.2281189
64,-0.8561214,-0.44036865
65,-1.0831397,-0.47113037
66,-0.8994553,-0.32318115
67,-0.875788,-0.2906189
68,-1.2841543,-1.0238647
69,-1.0230298,-0.9614258
70,-0.09947188,-0.22595215
71,0.6949998,0.6054077
72,1.1764662,1.184845
73,1.2357761,1.1687622
74,1.1099824,0.92248535
75,0.9240168,0.92388916
76,0.48637247,0.20022583
77,0.36963424,0.010375977
78,0.0036153875,-0.23626709
79,-0.39400065,-0.5470276
80,-0.004793188,-0.21069336
81,0.18621366,-0.052368164
82,0.50007457,0.47613525
83,0.095248625,-0.09713745
84,0.42393404,0.28936768
85,0.5279623,0.24230957
86,0.87406266,0.70162964
87,0.8580953,0.5423279
88,1.036216,0.9260864
89,1.176868,0.9025574
90,1.1625388,1.1584473
91,0.97319883,0.9862366
92,0.590187,0.6130371
93,0.37397033,0.4429016
94,0.14528221,0.39743042
95,0.082302384,0.5105591
96,0.15257357,0.39666748
97,0.13982683,-0.05328369
98,-0.10624137,-0.270813
99,-0.43319342,-0.4096985
100,-0.20728725,-0.19091797
101,-0.36229327,-0.2788391
102,-0.7820657,-0.5661621
103,-0.7820657,-0.5661621
104,-0.7820657,-0.5661621
