Band,Mean Anomaly,Median Anomaly,Year
56,-2.245606,-1.9656372,2005.9963561643835
57,-0.8400628,-0.6423645,2006.2463561643835
58,-0.29889685,0.045166016,2006.4963561643835
59,-0.8388644,-0.46368408,2006.7463561643835
60,-0.8593313,-0.50494385,2006.9963561643835
61,-0.43439308,0.07788086,2007.2463561643835
62,0.34809142,0.7180176,2007.4963561643835
63,-0.15517078,0.2281189,2007.7463561643835
64,-0.8561214,-0.44036865,2007.9963561643835
65,-1.0831397,-0.47113037,2008.2469260273972
66,-0.8994553,-0.32318115,2008.497610958904
67,-0.875788,-0.2906189,2008.7482958904109
68,-1.2841543,-1.0238647,2008.9989808219177
69,-1.0230298,-0.9614258,2009.249095890411
70,-0.09947188,-0.22595215,2009.499095890411
71,0.6949998,0.6054077,2009.749095890411
72,1.1764662,1.184845,2009.999095890411
73,1.2357761,1.1687622,2010.249095890411
74,1.1099824,0.92248535,2010.499095890411
75,0.9240168,0.92388916,2010.749095890411
76,0.48637247,0.20022583,2010.999095890411
77,0.36963424,0.010375977,2011.249095890411
78,0.0036153875,-0.23626709,2011.499095890411
79,-0.39400065,-0.5470276,2011.749095890411
80,-0.004793188,-0.21069336,2011.999095890411
81,0.18621366,-0.052368164,2012.2496657534246
82,0.50007457,0.47613525,2012.5003506849316
83,0.095248625,-0.09713745,2012.7510356164385
84,0.42393404,0.28936768,2013.0017205479453
85,0.5279623,0.24230957,2013.2518356164383
86,0.87406266,0.70162964,2013.5018356164383
87,0.8580953,0.5423279,2013.7518356164383
88,1.036216,0.9260864,2014.0018356164383
89,1.176868,0.9025574,2014.2518356164383
90,1.1625388,1.1584473,2014.5018356164383
91,0.97319883,0.9862366,2014.7518356164383
92,0.590187,0.6130371,2015.0018356164383
93,0.37397033,0.4429016,2015.2518356164383
94,0.14528221,0.39743042,2015.5018356164383
95,0.082302384,0.5105591,2015.7518356164383
96,0.15257357,0.39666748,2016.0018356164383
97,0.13982683,-0.05328369,2016.2524054794521
98,-0.10624137,-0.270813,2016.503090410959
99,-0.43319342,-0.4096985,2016.7537753424658
100,-0.20728725,-0.19091797,2017.0044602739727
101,-0.36229327,-0.2788391,2017.2545753424658
102,-0.7820657,-0.5661621,2017.5045753424658
103,-0.7820657,-0.5661621,2017.7545753424658
104,-0.7820657,-0.5661621,2018.0045753424658
