Mean Anomaly,Median Anomaly,Year
2.4752197,2.1110544,2006.2463561643835
0.6518956,0.6698772,2006.4963561643835
-0.39609334,-0.05263523,2006.7463561643835
0.26693773,0.73691213,2006.9963561643835
0.7106521,0.94360757,2007.2463561643835
-0.16996829,0.10762496,2007.4963561643835
-1.2382756,-1.149116,2007.7463561643835
-1.5584899,-1.563335,2007.9963561643835
-0.8221659,-0.5768614,2008.2469260273972
-0.5539126,-0.40018743,2008.497610958904
-0.47616446,-0.5125052,2008.7482958904109
0.16655146,-0.15391634,2008.9989808219177
1.3670418,0.8223718,2009.249095890411
2.3486335,1.741364,2009.499095890411
1.9740429,1.7621887,2009.749095890411
0.8313886,0.81701744,2009.999095890411
-0.22834654,-0.3291076,2010.249095890411
-1.1528443,-1.496257,2010.499095890411
-1.4985027,-2.146422,2010.749095890411
-1.6262194,-2.1121335,2010.999095890411
-1.7629728,-1.9797511,2011.249095890411
-1.2102988,-1.0517142,2011.499095890411
-0.6494966,-0.49984396,2011.749095890411
0.08889692,0.21047872,2011.999095890411
0.013080878,0.08725989,2012.2496657534246
-0.22602151,-0.043258905,2012.5003506849316
-0.21817598,-0.030818373,2012.7510356164385
0.09430162,0.12278957,2013.0017205479453
0.5157526,0.36246282,2013.2518356164383
0.4120447,0.28980124,2013.5018356164383
0.37282506,-0.04954049,2013.7518356164383
0.12072446,-0.1509695,2014.0018356164383
-0.094151966,-0.26095915,2014.2518356164383
-0.7016326,-0.8356329,2014.5018356164383
-1.2041272,-1.2002127,2014.7518356164383
-1.4108516,-1.4880972,2015.0018356164383
-1.2295736,-1.1793504,2015.2518356164383
-0.81637543,-0.9921477,2015.5018356164383
-0.6454672,-0.54852515,2015.7518356164383
-0.6980602,-1.0160193,2016.0018356164383
-1.1115054,-1.4508123,2016.2524054794521
-1.0900137,-1.009233,2016.503090410959
-0.9923219,-1.5015227,2016.7537753424658
-1.0003437,-1.3507006,2017.0044602739727
-0.9571192,-1.1878369,2017.2545753424658
-1.0613647,-1.1648933,2017.5045753424658
-0.7675738,-0.76424974,2017.7545753424658
-0.41715822,-0.32433116,2018.0045753424658
